,doctor_id,doctor_title,depart,call_num,call_answer_num,recruit_call_num,recruit_call_answer_num,cover_call_num,cover_call_answer_num,effective_call_num,effective_recruit_call_num,effective_cover_call_num,effective_call_time,effective_recrui_call_time,effective_cover_call_time,wechat_send_num,wechat_send_words,wechat_answer_num,wechat_answer_words,wechat_send_days,wechat_answer_days,article_send_num,read_num,article_read_num,effective_read_num,effective_read_time,wenjuan_send_num,effective_wenjuan_num,live_send_num,effective_live_num,effective_live_time,activity_num,offline_visit_num,naxion_time,hzl,effective_channel_num,data_date,index,time
0,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-06-26,241.0,1593100800.0
1,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-04-15,276.0,1586880000.0
2,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,180,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-06-15,424.0,1592150400.0
5,1305437,住院医师,神经内科,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-07-02,746.0,1593619200.0
6,1305437,住院医师,神经内科,2,1,0,0,1,1,1,0,1,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2020-05-30,1078.0,1590768000.0
8,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,318,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-06-01,1915.0,1590940800.0
10,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,8,2370,4,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2020-04-20,2623.0,1587312000.0
11,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,6,1413,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-08-07,2646.0,1596729600.0
13,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,2,99,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,2,0,2020-05-08,2941.0,1588867200.0
14,1305437,住院医师,神经内科,1,1,0,0,1,1,1,0,1,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2020-07-10,3074.0,1594310400.0
15,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-05-07,3279.0,1588780800.0
16,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,4,198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-07-23,3299.0,1595433600.0
17,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-06-18,3437.0,1592409600.0
18,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,14,125,9,68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,2020-05-28,3447.0,1590595200.0
19,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-04-28,3479.0,1588003200.0
21,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-04-30,3807.0,1588176000.0
22,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-05-13,3955.0,1589299200.0
25,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-06-22,4452.0,1592755200.0
29,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-06-30,5387.0,1593446400.0
31,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-07-17,5686.0,1594915200.0
32,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,5,2705,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2020-04-24,5752.0,1587657600.0
34,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-07-09,5859.0,1594224000.0
35,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,1,9,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2020-07-01,5864.0,1593532800.0
36,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-06-25,6035.0,1593014400.0
37,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,4,331,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2020-07-28,6431.0,1595865600.0
38,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,187,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-08-09,6450.0,1596902400.0
40,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,2020-06-03,6873.0,1591113600.0
41,1305437,住院医师,神经内科,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-05-24,6885.0,1590249600.0
42,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-08-04,7261.0,1596470400.0
43,1305437,住院医师,神经内科,1,1,0,0,1,1,1,0,1,90,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2020-04-16,7571.0,1586966400.0
45,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,5,164,1,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2020-07-14,7679.0,1594656000.0
46,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-06-23,8154.0,1592841600.0
47,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,8,315,1,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2020-05-15,8176.0,1589472000.0
48,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-04-25,8186.0,1587744000.0
49,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-04-22,8375.0,1587484800.0
51,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,6,1471,3,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2020-05-22,8514.0,1590076800.0
52,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-08-11,8564.0,1597075200.0
55,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-07-24,9030.0,1595520000.0
57,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,6,1454,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2020-05-12,9206.0,1589212800.0
58,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,44,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2020-06-11,9349.0,1591804800.0
59,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,4,245,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-06-09,9681.0,1591632000.0
60,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-05-26,9993.0,1590422400.0
61,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2020-03-18,10018.0,1584460800.0
62,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,3,136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-05-18,10514.0,1589731200.0
64,1341127,副主任医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2020-07-30,136.0,1596038400.0
65,1341127,副主任医师,神经内科,1,1,0,0,1,1,1,0,1,95,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2020-05-23,441.0,1590163200.0
73,1341127,副主任医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2020-05-20,1923.0,1589904000.0
76,1341127,副主任医师,神经内科,1,1,0,0,1,1,1,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2020-05-29,3446.0,1590681600.0
79,1341127,副主任医师,神经内科,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2020-05-18,4137.0,1589731200.0
81,1341127,副主任医师,神经内科,1,1,0,0,1,1,1,0,1,108,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2020-05-25,4470.0,1590336000.0
88,1341127,副主任医师,神经内科,1,1,1,1,0,0,1,1,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2020-04-27,7734.0,1587916800.0
89,1341127,副主任医师,神经内科,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2020-06-17,7864.0,1592323200.0
90,1341127,副主任医师,神经内科,1,1,0,0,1,1,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2020-06-11,7868.0,1591804800.0
91,1341127,副主任医师,神经内科,1,1,0,0,1,1,1,0,1,84,0,84,14,3554,3,2370,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,2020-08-07,7921.0,1596729600.0
92,1341127,副主任医师,神经内科,1,1,0,0,1,1,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2020-07-25,8050.0,1595606400.0
93,1341127,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,4,218,2,13,1,1,0,0,0,0,0,0,0,0,2,7800,0,0,22,4,2,2020-08-09,8558.0,1596902400.0
97,1341127,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2020-08-11,9422.0,1597075200.0
102,1181039,主任医师,神经内科,2,1,1,1,1,0,1,1,0,84,84,0,10,2149,7,71,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,50,2,2020-07-08,907.0,1594137600.0
103,1181039,主任医师,神经内科,1,1,0,0,1,1,1,0,1,83,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,1,2020-08-12,1131.0,1597161600.0
104,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,6,1210,1,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,2020-08-07,1276.0,1596729600.0
105,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,0,2020-06-15,1909.0,1592150400.0
107,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,4,144,1,11,1,1,0,1,1,1,196,0,1,0,0,0,0,0,8,50,3,2020-07-14,2217.0,1594656000.0
108,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,50,1,2020-07-10,2220.0,1594310400.0
110,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2020-08-04,2465.0,1596470400.0
111,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,5,274,5,1453,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,50,1,2020-08-09,2647.0,1596902400.0
112,1181039,主任医师,神经内科,1,1,0,0,1,1,1,0,1,183,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,1,2020-07-15,2899.0,1594742400.0
113,1181039,主任医师,神经内科,6,0,0,0,6,0,0,0,0,0,0,0,4,331,1,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,50,2,2020-07-28,4327.0,1595865600.0
115,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,13,9818,8,81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,50,1,2020-07-20,5198.0,1595174400.0
116,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,50,1,2020-07-12,5554.0,1594483200.0
119,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,50,1,2020-07-29,5773.0,1595952000.0
120,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2020-08-11,5787.0,1597075200.0
121,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,5,247,8,774,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,50,1,2020-07-09,6025.0,1594224000.0
126,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,8,461,7,1681,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,50,1,2020-07-13,7681.0,1594569600.0
127,1181039,主任医师,神经内科,1,1,0,0,1,1,1,0,1,99,0,99,4,2828,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,50,2,2020-07-21,7979.0,1595260800.0
128,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,50,0,2020-07-16,8141.0,1594828800.0
