,doctor_id,doctor_title,depart,call_num,call_answer_num,recruit_call_num,recruit_call_answer_num,cover_call_num,cover_call_answer_num,effective_call_num,effective_recruit_call_num,effective_cover_call_num,effective_call_time,effective_recrui_call_time,effective_cover_call_time,wechat_send_num,wechat_send_words,wechat_answer_num,wechat_answer_words,wechat_send_days,wechat_answer_days,article_send_num,read_num,article_read_num,effective_read_num,effective_read_time,wenjuan_send_num,effective_wenjuan_num,live_send_num,effective_live_num,effective_live_time,activity_num,offline_visit_num,naxion_time,hzl,effective_channel_num,data_date,index,time
3,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,3,129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-08-14,494.0,1597334400.0
4,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,3,170,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-09-23,555.0,1600790400.0
7,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,47,1,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2020-09-04,1154.0,1599148800.0
9,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,4,314,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-10-16,2549.0,1602777600.0
12,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,3,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-09-11,2685.0,1599753600.0
20,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-09-17,3708.0,1600272000.0
23,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-09-27,4059.0,1601136000.0
24,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-08-28,4199.0,1598544000.0
26,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-08-26,4530.0,1598371200.0
27,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-08-31,4687.0,1598803200.0
28,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-10-12,4879.0,1602432000.0
30,1305437,住院医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-09-18,5511.0,1600358400.0
33,1305437,住院医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,4,367,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020-08-20,5792.0,1597852800.0
